# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11T 0561 4827 1000)",2.2,1,294,43.5979,-116.2381,0,"UTM:(11T 0561 4827 1000)",""
"UTM:(11T 0561 4830 1000)",2.0,1,297,43.6249,-116.2378,0,"UTM:(11T 0561 4830 1000)",""
"UTM:(11T 0561 4835 1000)",4.8,1,302,43.6700,-116.2371,0,"UTM:(11T 0561 4835 1000)",""
"UTM:(11T 0562 4823 1000)",2.0,1,290,43.5618,-116.2261,0,"UTM:(11T 0562 4823 1000)",""
"UTM:(11T 0562 4824 1000)",2.5,4,291,43.5709,-116.2261,0,"UTM:(11T 0562 4824 1000)",""
"UTM:(11T 0562 4826 1000)",2.7,1,293,43.5889,-116.2258,0,"UTM:(11T 0562 4826 1000)",""
"UTM:(11T 0562 4828 1000)",2.8,3,295,43.6069,-116.2255,0,"UTM:(11T 0562 4828 1000)",""
"UTM:(11T 0562 4830 1000)",3.4,1,297,43.6248,-116.2253,0,"UTM:(11T 0562 4830 1000)",""
"UTM:(11T 0562 4831 1000)",2.6,2,298,43.6338,-116.2252,0,"UTM:(11T 0562 4831 1000)",""
"UTM:(11T 0563 4824 1000)",3.1,1,291,43.5708,-116.2137,0,"UTM:(11T 0563 4824 1000)",""
"UTM:(11T 0563 4825 1000)",3.4,1,292,43.5798,-116.2135,0,"UTM:(11T 0563 4825 1000)",""
"UTM:(11T 0563 4826 1000)",2.2,1,293,43.5888,-116.2133,0,"UTM:(11T 0563 4826 1000)",""
"UTM:(11T 0563 4829 1000)",2.8,3,296,43.6157,-116.2131,0,"UTM:(11T 0563 4829 1000)",""
"UTM:(11T 0563 4831 1000)",2.7,1,297,43.6337,-116.2128,0,"UTM:(11T 0563 4831 1000)",""
"UTM:(11T 0563 4832 1000)",3.3,2,298,43.6427,-116.2126,0,"UTM:(11T 0563 4832 1000)",""
"UTM:(11T 0564 4824 1000)",2.2,1,291,43.5707,-116.2012,0,"UTM:(11T 0564 4824 1000)",""
"UTM:(11T 0564 4826 1000)",2.7,1,292,43.5887,-116.2010,0,"UTM:(11T 0564 4826 1000)",""
"UTM:(11T 0564 4828 1000)",2.5,6,294,43.6067,-116.2007,0,"UTM:(11T 0564 4828 1000)",""
"UTM:(11T 0564 4829 1000)",2.9,9,295,43.6157,-116.2006,0,"UTM:(11T 0564 4829 1000)",""
"UTM:(11T 0564 4830 1000)",2.2,1,296,43.6247,-116.2005,0,"UTM:(11T 0564 4830 1000)",""
"UTM:(11T 0564 4832 1000)",3.1,2,298,43.6427,-116.2003,0,"UTM:(11T 0564 4832 1000)",""
"UTM:(11T 0564 4833 1000)",2.1,2,299,43.6517,-116.2002,0,"UTM:(11T 0564 4833 1000)",""
"UTM:(11T 0565 4824 1000)",3.4,4,290,43.5705,-116.1889,0,"UTM:(11T 0565 4824 1000)",""
"UTM:(11T 0565 4827 1000)",3.5,5,293,43.5976,-116.1884,0,"UTM:(11T 0565 4827 1000)",""
"UTM:(11T 0565 4828 1000)",3.1,11,294,43.6066,-116.1883,0,"UTM:(11T 0565 4828 1000)",""
"UTM:(11T 0565 4829 1000)",2.8,5,295,43.6156,-116.1883,0,"UTM:(11T 0565 4829 1000)",""
"UTM:(11T 0565 4834 1000)",2.7,1,299,43.6607,-116.1876,0,"UTM:(11T 0565 4834 1000)",""
"UTM:(11T 0566 4823 1000)",2.0,1,289,43.5615,-116.1765,0,"UTM:(11T 0566 4823 1000)",""
"UTM:(11T 0566 4825 1000)",2.7,1,291,43.5795,-116.1763,0,"UTM:(11T 0566 4825 1000)",""
