# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,Standard deviation,City,State
"UTM:(11S 0363 3780 1000)",4.0,2,193,34.1565,-118.4808,0,0.320,"UTM:(11S 0363 3780 1000)",""
"UTM:(11S 0363 3784 1000)",4.3,2,190,34.1925,-118.4814,0,0.320,"UTM:(11S 0363 3784 1000)",""
"UTM:(11S 0363 3785 1000)",2.7,1,189,34.2016,-118.4815,0,0.330,"UTM:(11S 0363 3785 1000)",""
"UTM:(11S 0363 3788 1000)",2.5,2,186,34.2287,-118.4820,0,0.320,"UTM:(11S 0363 3788 1000)",""
"UTM:(11S 0363 3789 1000)",3.1,2,185,34.2377,-118.4821,0,0.320,"UTM:(11S 0363 3789 1000)",""
"UTM:(11S 0363 3792 1000)",3.1,2,183,34.2647,-118.4827,0,0.320,"UTM:(11S 0363 3792 1000)",""
"UTM:(11S 0363 3807 1000)",3.1,2,170,34.4000,-118.4851,0,0.320,"UTM:(11S 0363 3807 1000)",""
"UTM:(11S 0363 3809 1000)",3.4,4,168,34.4180,-118.4854,0,0.302,"UTM:(11S 0363 3809 1000)",""
"UTM:(11S 0363 3810 1000)",3.1,1,167,34.4270,-118.4855,0,0.330,"UTM:(11S 0363 3810 1000)",""
"UTM:(11S 0363 3814 1000)",3.4,1,164,34.4630,-118.4862,0,0.330,"UTM:(11S 0363 3814 1000)",""
"UTM:(11S 0364 3777 1000)",4.3,1,196,34.1296,-118.4694,0,0.330,"UTM:(11S 0364 3777 1000)",""
"UTM:(11S 0364 3781 1000)",4.1,1,192,34.1656,-118.4700,0,0.330,"UTM:(11S 0364 3781 1000)",""
"UTM:(11S 0364 3782 1000)",4.8,1,191,34.1746,-118.4702,0,0.330,"UTM:(11S 0364 3782 1000)",""
"UTM:(11S 0364 3785 1000)",3.3,4,188,34.2017,-118.4708,0,0.302,"UTM:(11S 0364 3785 1000)",""
"UTM:(11S 0364 3786 1000)",3.1,1,188,34.2108,-118.4709,0,0.330,"UTM:(11S 0364 3786 1000)",""
"UTM:(11S 0364 3788 1000)",3.4,2,186,34.2288,-118.4711,0,0.320,"UTM:(11S 0364 3788 1000)",""
"UTM:(11S 0364 3789 1000)",3.8,1,185,34.2378,-118.4714,0,0.330,"UTM:(11S 0364 3789 1000)",""
"UTM:(11S 0364 3792 1000)",5.3,2,182,34.2648,-118.4718,0,0.320,"UTM:(11S 0364 3792 1000)",""
"UTM:(11S 0364 3796 1000)",2.2,2,179,34.3009,-118.4725,0,0.320,"UTM:(11S 0364 3796 1000)",""
"UTM:(11S 0364 3797 1000)",5.4,1,178,34.3099,-118.4726,0,0.330,"UTM:(11S 0364 3797 1000)",""
"UTM:(11S 0364 3807 1000)",3.4,2,169,34.4001,-118.4742,0,0.320,"UTM:(11S 0364 3807 1000)",""
"UTM:(11S 0364 3812 1000)",3.1,1,165,34.4451,-118.4750,0,0.330,"UTM:(11S 0364 3812 1000)",""
"UTM:(11S 0364 3888 1000)",3.1,1,110,35.1303,-118.4872,0,0.330,"UTM:(11S 0364 3888 1000)",""
"UTM:(11S 0364 3939 1000)",4.7,1,91,35.5900,-118.4956,0,0.330,"UTM:(11S 0364 3939 1000)",""
"UTM:(11S 0365 3779 1000)",3.8,2,193,34.1478,-118.4589,0,0.320,"UTM:(11S 0365 3779 1000)",""
"UTM:(11S 0365 3780 1000)",3.1,4,192,34.1568,-118.4590,0,0.302,"UTM:(11S 0365 3780 1000)",""
"UTM:(11S 0365 3781 1000)",4.6,1,191,34.1658,-118.4592,0,0.330,"UTM:(11S 0365 3781 1000)",""
"UTM:(11S 0365 3783 1000)",3.8,1,190,34.1838,-118.4596,0,0.330,"UTM:(11S 0365 3783 1000)",""
"UTM:(11S 0365 3786 1000)",3.4,3,187,34.2109,-118.4600,0,0.311,"UTM:(11S 0365 3786 1000)",""
"UTM:(11S 0365 3787 1000)",2.2,2,186,34.2199,-118.4601,0,0.320,"UTM:(11S 0365 3787 1000)",""
"UTM:(11S 0365 3789 1000)",3.8,1,184,34.2379,-118.4605,0,0.330,"UTM:(11S 0365 3789 1000)",""
"UTM:(11S 0365 3790 1000)",3.6,2,184,34.2469,-118.4606,0,0.320,"UTM:(11S 0365 3790 1000)",""
"UTM:(11S 0365 3791 1000)",3.4,1,183,34.2559,-118.4607,0,0.330,"UTM:(11S 0365 3791 1000)",""
"UTM:(11S 0365 3795 1000)",3.1,5,179,34.2920,-118.4615,0,0.293,"UTM:(11S 0365 3795 1000)",""
"UTM:(11S 0365 3810 1000)",3.4,1,166,34.4273,-118.4638,0,0.330,"UTM:(11S 0365 3810 1000)",""
"UTM:(11S 0365 3890 1000)",4.8,1,108,35.1484,-118.4766,0,0.330,"UTM:(11S 0365 3890 1000)",""
"UTM:(11S 0366 3777 1000)",3.4,3,195,34.1299,-118.4478,0,0.311,"UTM:(11S 0366 3777 1000)",""
"UTM:(11S 0366 3779 1000)",3.6,17,193,34.1479,-118.4480,0,0.213,"UTM:(11S 0366 3779 1000)",""
"UTM:(11S 0366 3783 1000)",2.8,5,189,34.1839,-118.4486,0,0.293,"UTM:(11S 0366 3783 1000)",""
"UTM:(11S 0366 3784 1000)",3.1,1,188,34.1929,-118.4488,0,0.330,"UTM:(11S 0366 3784 1000)",""
"UTM:(11S 0366 3785 1000)",3.9,5,188,34.2019,-118.4490,0,0.293,"UTM:(11S 0366 3785 1000)",""
"UTM:(11S 0366 3788 1000)",3.1,3,185,34.2291,-118.4495,0,0.311,"UTM:(11S 0366 3788 1000)",""
"UTM:(11S 0366 3791 1000)",2.7,1,182,34.2561,-118.4500,0,0.330,"UTM:(11S 0366 3791 1000)",""
"UTM:(11S 0366 3796 1000)",2.2,1,178,34.3011,-118.4507,0,0.330,"UTM:(11S 0366 3796 1000)",""
"UTM:(11S 0366 3797 1000)",3.3,9,177,34.3102,-118.4509,0,0.262,"UTM:(11S 0366 3797 1000)",""
"UTM:(11S 0366 3799 1000)",3.4,1,175,34.3282,-118.4512,0,0.330,"UTM:(11S 0366 3799 1000)",""
"UTM:(11S 0366 3808 1000)",4.0,5,168,34.4094,-118.4526,0,0.293,"UTM:(11S 0366 3808 1000)",""
"UTM:(11S 0367 3776 1000)",3.4,1,195,34.1210,-118.4367,0,0.330,"UTM:(11S 0367 3776 1000)",""
