# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 0353 3791 1000)",3.3,2,379,34.2543,-118.5910,0,"UTM:(11S 0353 3791 1000)",""
"UTM:(11S 0353 3792 1000)",2.0,1,379,34.2634,-118.5913,0,"UTM:(11S 0353 3792 1000)",""
"UTM:(11S 0353 3793 1000)",1.0,1,380,34.2724,-118.5915,0,"UTM:(11S 0353 3793 1000)",""
"UTM:(11S 0353 3810 1000)",3.1,1,390,34.4256,-118.5943,0,"UTM:(11S 0353 3810 1000)",""
"UTM:(11S 0353 3812 1000)",2.7,1,391,34.4437,-118.5947,0,"UTM:(11S 0353 3812 1000)",""
"UTM:(11S 0354 3792 1000)",2.5,2,379,34.2635,-118.5804,0,"UTM:(11S 0354 3792 1000)",""
"UTM:(11S 0354 3806 1000)",2.0,2,387,34.3897,-118.5828,0,"UTM:(11S 0354 3806 1000)",""
"UTM:(11S 0355 3782 1000)",3.8,2,372,34.1735,-118.5678,0,"UTM:(11S 0355 3782 1000)",""
"UTM:(11S 0355 3783 1000)",3.1,1,373,34.1825,-118.5680,0,"UTM:(11S 0355 3783 1000)",""
"UTM:(11S 0355 3793 1000)",4.2,3,378,34.2726,-118.5697,0,"UTM:(11S 0355 3793 1000)",""
"UTM:(11S 0355 3794 1000)",2.0,1,379,34.2816,-118.5699,0,"UTM:(11S 0355 3794 1000)",""
"UTM:(11S 0355 3795 1000)",3.4,1,380,34.2906,-118.5701,0,"UTM:(11S 0355 3795 1000)",""
"UTM:(11S 0355 3806 1000)",3.1,1,386,34.3898,-118.5719,0,"UTM:(11S 0355 3806 1000)",""
"UTM:(11S 0355 3807 1000)",3.4,1,387,34.3988,-118.5720,0,"UTM:(11S 0355 3807 1000)",""
"UTM:(11S 0355 3809 1000)",5.4,1,388,34.4168,-118.5724,0,"UTM:(11S 0355 3809 1000)",""
"UTM:(11S 0356 3784 1000)",3.8,1,372,34.1916,-118.5574,0,"UTM:(11S 0356 3784 1000)",""
"UTM:(11S 0356 3785 1000)",3.4,2,373,34.2006,-118.5575,0,"UTM:(11S 0356 3785 1000)",""
"UTM:(11S 0356 3795 1000)",2.7,3,379,34.2908,-118.5591,0,"UTM:(11S 0356 3795 1000)",""
"UTM:(11S 0356 3805 1000)",2.5,1,385,34.3809,-118.5608,0,"UTM:(11S 0356 3805 1000)",""
"UTM:(11S 0356 3806 1000)",3.1,2,385,34.3899,-118.5610,0,"UTM:(11S 0356 3806 1000)",""
"UTM:(11S 0356 3808 1000)",3.6,6,387,34.4080,-118.5614,0,"UTM:(11S 0356 3808 1000)",""
"UTM:(11S 0356 3809 1000)",3.1,1,387,34.4170,-118.5616,0,"UTM:(11S 0356 3809 1000)",""
"UTM:(11S 0356 3814 1000)",3.1,1,390,34.4621,-118.5624,0,"UTM:(11S 0356 3814 1000)",""
"UTM:(11S 0356 3815 1000)",2.0,1,391,34.4711,-118.5625,0,"UTM:(11S 0356 3815 1000)",""
"UTM:(11S 0357 3782 1000)",2.0,3,370,34.1737,-118.5462,0,"UTM:(11S 0357 3782 1000)",""
"UTM:(11S 0357 3787 1000)",2.2,1,373,34.2188,-118.5470,0,"UTM:(11S 0357 3787 1000)",""
"UTM:(11S 0357 3794 1000)",3.8,1,377,34.2819,-118.5481,0,"UTM:(11S 0357 3794 1000)",""
"UTM:(11S 0357 3796 1000)",3.8,1,379,34.2999,-118.5485,0,"UTM:(11S 0357 3796 1000)",""
"UTM:(11S 0357 3807 1000)",4.1,1,385,34.3991,-118.5503,0,"UTM:(11S 0357 3807 1000)",""
"UTM:(11S 0357 3814 1000)",2.9,2,390,34.4622,-118.5514,0,"UTM:(11S 0357 3814 1000)",""
"UTM:(11S 0357 3815 1000)",2.0,1,390,34.4712,-118.5516,0,"UTM:(11S 0357 3815 1000)",""
"UTM:(11S 0358 3767 1000)",3.8,1,361,34.0387,-118.5328,0,"UTM:(11S 0358 3767 1000)",""
"UTM:(11S 0358 3768 1000)",2.7,1,362,34.0477,-118.5331,0,"UTM:(11S 0358 3768 1000)",""
"UTM:(11S 0358 3787 1000)",2.0,1,372,34.2189,-118.5361,0,"UTM:(11S 0358 3787 1000)",""
"UTM:(11S 0358 3788 1000)",3.4,1,373,34.2279,-118.5363,0,"UTM:(11S 0358 3788 1000)",""
"UTM:(11S 0358 3790 1000)",2.7,1,374,34.2460,-118.5367,0,"UTM:(11S 0358 3790 1000)",""
"UTM:(11S 0358 3806 1000)",2.2,1,384,34.3902,-118.5393,0,"UTM:(11S 0358 3806 1000)",""
"UTM:(11S 0358 3807 1000)",2.0,1,384,34.3992,-118.5394,0,"UTM:(11S 0358 3807 1000)",""
"UTM:(11S 0358 3808 1000)",3.0,4,385,34.4082,-118.5395,0,"UTM:(11S 0358 3808 1000)",""
"UTM:(11S 0358 3810 1000)",2.7,1,386,34.4263,-118.5400,0,"UTM:(11S 0358 3810 1000)",""
"UTM:(11S 0358 3812 1000)",2.2,2,388,34.4444,-118.5402,0,"UTM:(11S 0358 3812 1000)",""
"UTM:(11S 0359 3766 1000)",2.7,1,360,34.0297,-118.5219,0,"UTM:(11S 0359 3766 1000)",""
"UTM:(11S 0359 3767 1000)",2.2,1,360,34.0388,-118.5221,0,"UTM:(11S 0359 3767 1000)",""
"UTM:(11S 0359 3781 1000)",4.6,1,368,34.1650,-118.5243,0,"UTM:(11S 0359 3781 1000)",""
"UTM:(11S 0359 3782 1000)",2.0,1,369,34.1740,-118.5245,0,"UTM:(11S 0359 3782 1000)",""
