# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 040 374 10000)",4.2,425,33,33.8409,-118.0268,0,"UTM:(11S 040 374 10000)",""
"UTM:(11S 040 375 10000)",3.7,244,31,33.9312,-118.0279,0,"UTM:(11S 040 375 10000)",""
"UTM:(11S 040 376 10000)",3.4,120,32,34.0213,-118.0289,0,"UTM:(11S 040 376 10000)",""
"UTM:(11S 040 377 10000)",2.5,113,36,34.1115,-118.0300,0,"UTM:(11S 040 377 10000)",""
"UTM:(11S 040 378 10000)",2.9,31,42,34.2017,-118.0311,0,"UTM:(11S 040 378 10000)",""
"UTM:(11S 040 382 10000)",2.0,6,75,34.5624,-118.0356,0,"UTM:(11S 040 382 10000)",""
"UTM:(11S 040 383 10000)",2.0,2,84,34.6525,-118.0367,0,"UTM:(11S 040 383 10000)",""
"UTM:(11S 041 371 10000)",3.8,108,58,33.5713,-117.9158,0,"UTM:(11S 041 371 10000)",""
"UTM:(11S 041 372 10000)",3.9,765,51,33.6615,-117.9168,0,"UTM:(11S 041 372 10000)",""
"UTM:(11S 041 373 10000)",3.8,375,46,33.7516,-117.9177,0,"UTM:(11S 041 373 10000)",""
"UTM:(11S 041 374 10000)",3.6,447,42,33.8418,-117.9186,0,"UTM:(11S 041 374 10000)",""
"UTM:(11S 041 375 10000)",3.4,233,40,33.9320,-117.9196,0,"UTM:(11S 041 375 10000)",""
"UTM:(11S 041 376 10000)",2.8,97,41,34.0222,-117.9206,0,"UTM:(11S 041 376 10000)",""
"UTM:(11S 041 377 10000)",2.1,55,45,34.1124,-117.9216,0,"UTM:(11S 041 377 10000)",""
"UTM:(11S 041 381 10000)",2.0,1,71,34.4731,-117.9256,0,"UTM:(11S 041 381 10000)",""
"UTM:(11S 041 382 10000)",2.2,1,80,34.5632,-117.9266,0,"UTM:(11S 041 382 10000)",""
"UTM:(11S 041 384 10000)",2.7,1,97,34.7436,-117.9286,0,"UTM:(11S 041 384 10000)",""
"UTM:(11S 042 370 10000)",3.9,11,71,33.4818,-117.8072,0,"UTM:(11S 042 370 10000)",""
"UTM:(11S 042 371 10000)",3.9,156,65,33.5721,-117.8081,0,"UTM:(11S 042 371 10000)",""
"UTM:(11S 042 372 10000)",3.8,647,59,33.6623,-117.8089,0,"UTM:(11S 042 372 10000)",""
"UTM:(11S 042 373 10000)",3.2,430,54,33.7524,-117.8098,0,"UTM:(11S 042 373 10000)",""
"UTM:(11S 042 374 10000)",3.1,257,51,33.8426,-117.8106,0,"UTM:(11S 042 374 10000)",""
"UTM:(11S 042 375 10000)",3.1,96,50,33.9327,-117.8115,0,"UTM:(11S 042 375 10000)",""
"UTM:(11S 042 376 10000)",2.9,60,51,34.0229,-117.8123,0,"UTM:(11S 042 376 10000)",""
"UTM:(11S 042 377 10000)",2.6,87,53,34.1132,-117.8132,0,"UTM:(11S 042 377 10000)",""
"UTM:(11S 042 378 10000)",2.7,1,58,34.2034,-117.8141,0,"UTM:(11S 042 378 10000)",""
"UTM:(11S 042 383 10000)",2.0,4,93,34.6542,-117.8185,0,"UTM:(11S 042 383 10000)",""
"UTM:(11S 043 370 10000)",3.7,375,79,33.4825,-117.6996,0,"UTM:(11S 043 370 10000)",""
"UTM:(11S 043 371 10000)",3.8,682,72,33.5727,-117.7003,0,"UTM:(11S 043 371 10000)",""
"UTM:(11S 043 372 10000)",3.4,391,67,33.6629,-117.7010,0,"UTM:(11S 043 372 10000)",""
"UTM:(11S 043 373 10000)",3.2,12,63,33.7531,-117.7018,0,"UTM:(11S 043 373 10000)",""
"UTM:(11S 043 374 10000)",2.8,59,61,33.8433,-117.7026,0,"UTM:(11S 043 374 10000)",""
"UTM:(11S 043 375 10000)",2.8,47,60,33.9334,-117.7033,0,"UTM:(11S 043 375 10000)",""
"UTM:(11S 043 376 10000)",3.0,87,60,34.0236,-117.7040,0,"UTM:(11S 043 376 10000)",""
"UTM:(11S 043 377 10000)",2.7,97,63,34.1138,-117.7047,0,"UTM:(11S 043 377 10000)",""
"UTM:(11S 043 378 10000)",2.5,4,66,34.2040,-117.7055,0,"UTM:(11S 043 378 10000)",""
"UTM:(11S 043 394 10000)",3.6,2,198,35.6467,-117.7180,0,"UTM:(11S 043 394 10000)",""
"UTM:(11S 044 369 10000)",3.5,112,93,33.3928,-117.5914,0,"UTM:(11S 044 369 10000)",""
"UTM:(11S 044 370 10000)",3.5,170,86,33.4830,-117.5920,0,"UTM:(11S 044 370 10000)",""
"UTM:(11S 044 371 10000)",3.6,197,81,33.5733,-117.5926,0,"UTM:(11S 044 371 10000)",""
"UTM:(11S 044 372 10000)",3.1,253,76,33.6634,-117.5932,0,"UTM:(11S 044 372 10000)",""
"UTM:(11S 044 373 10000)",3.4,8,73,33.7537,-117.5939,0,"UTM:(11S 044 373 10000)",""
"UTM:(11S 044 374 10000)",3.0,107,70,33.8439,-117.5944,0,"UTM:(11S 044 374 10000)",""
"UTM:(11S 044 375 10000)",3.2,80,69,33.9340,-117.5951,0,"UTM:(11S 044 375 10000)",""
"UTM:(11S 044 376 10000)",2.9,48,70,34.0241,-117.5958,0,"UTM:(11S 044 376 10000)",""
"UTM:(11S 044 377 10000)",2.9,128,72,34.1144,-117.5963,0,"UTM:(11S 044 377 10000)",""
"UTM:(11S 044 378 10000)",2.5,5,75,34.2045,-117.5969,0,"UTM:(11S 044 378 10000)",""
"UTM:(11S 044 380 10000)",2.1,2,85,34.3850,-117.5983,0,"UTM:(11S 044 380 10000)",""
"UTM:(11S 044 381 10000)",2.0,1,91,34.4751,-117.5989,0,"UTM:(11S 044 381 10000)",""
"UTM:(11S 045 368 10000)",4.6,3,107,33.3032,-117.4834,0,"UTM:(11S 045 368 10000)",""
"UTM:(11S 045 369 10000)",2.7,1,100,33.3933,-117.4839,0,"UTM:(11S 045 369 10000)",""
"UTM:(11S 045 373 10000)",2.9,17,82,33.7541,-117.4858,0,"UTM:(11S 045 373 10000)",""
"UTM:(11S 045 374 10000)",3.0,38,80,33.8443,-117.4864,0,"UTM:(11S 045 374 10000)",""
"UTM:(11S 045 375 10000)",3.1,125,79,33.9345,-117.4869,0,"UTM:(11S 045 375 10000)",""
"UTM:(11S 045 376 10000)",3.2,44,80,34.0247,-117.4874,0,"UTM:(11S 045 376 10000)",""
"UTM:(11S 045 377 10000)",2.9,72,81,34.1149,-117.4879,0,"UTM:(11S 045 377 10000)",""
"UTM:(11S 045 378 10000)",3.4,7,84,34.2050,-117.4884,0,"UTM:(11S 045 378 10000)",""
