# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 0245 3816 1000)",2.0,1,193,34.4587,-119.7705,0,"UTM:(11S 0245 3816 1000)",""
"UTM:(11S 0246 3814 1000)",3.9,8,192,34.4410,-119.7590,0,"UTM:(11S 0246 3814 1000)",""
"UTM:(11S 0246 3815 1000)",3.8,4,192,34.4500,-119.7593,0,"UTM:(11S 0246 3815 1000)",""
"UTM:(11S 0246 3904 1000)",2.7,1,235,35.2515,-119.7862,0,"UTM:(11S 0246 3904 1000)",""
"UTM:(11S 0247 3810 1000)",2.9,2,190,34.4051,-119.7469,0,"UTM:(11S 0247 3810 1000)",""
"UTM:(11S 0247 3812 1000)",2.2,1,190,34.4231,-119.7475,0,"UTM:(11S 0247 3812 1000)",""
"UTM:(11S 0247 3813 1000)",3.3,7,191,34.4322,-119.7478,0,"UTM:(11S 0247 3813 1000)",""
"UTM:(11S 0247 3814 1000)",3.1,13,191,34.4412,-119.7481,0,"UTM:(11S 0247 3814 1000)",""
"UTM:(11S 0247 3815 1000)",2.3,5,191,34.4502,-119.7484,0,"UTM:(11S 0247 3815 1000)",""
"UTM:(11S 0247 3816 1000)",3.4,1,192,34.4592,-119.7487,0,"UTM:(11S 0247 3816 1000)",""
"UTM:(11S 0248 3809 1000)",2.0,1,189,34.3963,-119.7358,0,"UTM:(11S 0248 3809 1000)",""
"UTM:(11S 0248 3812 1000)",3.4,4,189,34.4234,-119.7367,0,"UTM:(11S 0248 3812 1000)",""
"UTM:(11S 0248 3813 1000)",2.2,1,190,34.4324,-119.7370,0,"UTM:(11S 0248 3813 1000)",""
"UTM:(11S 0248 3814 1000)",3.1,5,190,34.4414,-119.7373,0,"UTM:(11S 0248 3814 1000)",""
"UTM:(11S 0249 3809 1000)",2.5,3,188,34.3966,-119.7249,0,"UTM:(11S 0249 3809 1000)",""
"UTM:(11S 0249 3810 1000)",3.0,7,188,34.4056,-119.7252,0,"UTM:(11S 0249 3810 1000)",""
"UTM:(11S 0249 3811 1000)",2.8,4,188,34.4146,-119.7255,0,"UTM:(11S 0249 3811 1000)",""
"UTM:(11S 0249 3812 1000)",2.5,6,188,34.4236,-119.7258,0,"UTM:(11S 0249 3812 1000)",""
"UTM:(11S 0249 3813 1000)",3.0,16,189,34.4326,-119.7261,0,"UTM:(11S 0249 3813 1000)",""
"UTM:(11S 0249 3814 1000)",2.9,11,189,34.4416,-119.7264,0,"UTM:(11S 0249 3814 1000)",""
"UTM:(11S 0249 3815 1000)",3.2,5,189,34.4506,-119.7267,0,"UTM:(11S 0249 3815 1000)",""
"UTM:(11S 0249 3816 1000)",3.1,1,190,34.4596,-119.7270,0,"UTM:(11S 0249 3816 1000)",""
"UTM:(11S 0249 4077 1000)",2.5,5,367,36.8102,-119.8081,0,"UTM:(11S 0249 4077 1000)",""
"UTM:(11S 0250 3809 1000)",2.7,1,187,34.3969,-119.7141,0,"UTM:(11S 0250 3809 1000)",""
"UTM:(11S 0250 3810 1000)",3.6,3,187,34.4059,-119.7143,0,"UTM:(11S 0250 3810 1000)",""
"UTM:(11S 0250 3811 1000)",3.6,5,187,34.4149,-119.7147,0,"UTM:(11S 0250 3811 1000)",""
"UTM:(11S 0250 3812 1000)",3.3,16,188,34.4239,-119.7149,0,"UTM:(11S 0250 3812 1000)",""
"UTM:(11S 0250 3813 1000)",2.7,8,188,34.4329,-119.7152,0,"UTM:(11S 0250 3813 1000)",""
"UTM:(11S 0250 3814 1000)",2.5,6,188,34.4419,-119.7155,0,"UTM:(11S 0250 3814 1000)",""
"UTM:(11S 0250 3815 1000)",2.6,7,188,34.4509,-119.7158,0,"UTM:(11S 0250 3815 1000)",""
"UTM:(11S 0251 3809 1000)",3.4,1,186,34.3971,-119.7032,0,"UTM:(11S 0251 3809 1000)",""
"UTM:(11S 0251 3810 1000)",3.4,8,186,34.4061,-119.7035,0,"UTM:(11S 0251 3810 1000)",""
"UTM:(11S 0251 3811 1000)",3.3,14,186,34.4151,-119.7038,0,"UTM:(11S 0251 3811 1000)",""
"UTM:(11S 0251 3812 1000)",3.2,67,187,34.4241,-119.7041,0,"UTM:(11S 0251 3812 1000)",""
"UTM:(11S 0251 3813 1000)",3.0,3,187,34.4331,-119.7044,0,"UTM:(11S 0251 3813 1000)",""
"UTM:(11S 0251 3814 1000)",3.2,6,187,34.4421,-119.7047,0,"UTM:(11S 0251 3814 1000)",""
"UTM:(11S 0251 3816 1000)",2.2,3,188,34.4601,-119.7052,0,"UTM:(11S 0251 3816 1000)",""
